channel,countsA,countsB,sizeA,sizeB,cvA,cvB,rcs,linearity,pg,ploidy,
MOMA14 + Soy 2017-09-27 768.LMD,448.306126053354,864.958325064805,70.9781455802873,144.947115947828,0.053750792117009,0.030345027646966,3.7845626882783,2.00064475258807,1.2242076207614,,
MOMA15 + Soy 2017-09-27 771.LMD,1705.37768628189,2852.48378617625,58.7822937358331,124.552415869647,0.068572620383433,0.042665436640375,2.35946779500236,2.15845754258124,1.17987060558811,,
MOMA16 + Soy 2017-09-27 772.LMD,1020.90470313587,2865.0062671093,67.7477556834178,144.392673139673,0.059868590932853,0.034996901381852,1.69629698015804,2.02391141580914,1.17297772474031,,
MOMA17 + Soy 2017-09-27 773.LMD,910.504658050765,58.8463748489147,63.1050123625431,134.192340011542,0.047676647893657,0.030494423687249,1.77E+90,2.0797340650449,1.17564483108938,,
MOMA18 + Soy 2017-09-27 774.LMD,1260.19237813479,1687.0757691836,61.0878106002227,131.122737304734,0.048111502561963,0.035181368695219,7.70E+88,2.21283545733097,1.16470666826937,,
MOMA19 + Soy 2017-09-27 775.LMD,860.36181402399,2339.32471310594,62.4805997063958,132.621142460029,0.044687221034378,0.029627048313738,7.57662598870732,2.18896383994163,1.17780239536895,,
MOMA2 + Soy 2017-09-27 756.LMD,1168.105928406,1188.38211564278,67.5605104772988,141.336629923396,0.051679485791938,0.028378469591679,4.22E+51,2.15101378123676,1.19502832552885,,
MOMA20 + Soy 2017-09-27 776.LMD,155.614354380571,1578.83846732326,70.6626061589144,139.940517276289,0.037060918574803,0.0221037428889,8.40501815744625,NA,1.26236860371544,,
MOMA3 + Soy 2017-09-27 757.LMD,739.274687008378,2255.06011612388,69.0355515433728,146.249479490246,0.07110231846416,0.034843767011393,1.43292978464819,2.00947661461196,1.18009909819845,,
MOMA4 + Soy 2017-09-27 758.LMD,418.140328340255,554.844131036529,80.9563190921917,161.290472942738,0.052381479372023,0.032515256080682,5.11019357914157,NA,1.25482177612767,,
MOMA5 + Soy 2017-09-27 759.LMD,1094.55090733092,1327.12452914281,70.2417080530241,145.028828270755,0.07569196464222,0.032633608273264,1.43866496745828,2.13117537763176,1.21082320133431,,
